key,value
.driver.file.modifier.account.type_id,integer
.driver.file.modifier.account.uid,string
.driver.file.modifier.credential_uid,string
.driver.file.modifier.domain,string
.driver.file.modifier.email_addr,string
.driver.file.modifier.full_name,string
.driver.file.modifier.groups[].desc,string
.driver.file.modifier.groups[].domain,string
.driver.file.modifier.groups[].name,string
.driver.file.modifier.groups[].privileges[],string
.driver.file.modifier.groups[].type,string
.driver.file.modifier.groups[].uid,string
.driver.file.modifier.ldap_person.cost_center,string
.driver.file.modifier.ldap_person.created_time,integer
.driver.file.modifier.ldap_person.created_time_dt,string
.driver.file.modifier.ldap_person.deleted_time,integer
.driver.file.modifier.ldap_person.deleted_time_dt,string
.driver.file.modifier.ldap_person.email_addrs[],string
.driver.file.modifier.ldap_person.employee_uid,string
.driver.file.modifier.ldap_person.given_name,string
.driver.file.modifier.ldap_person.hire_time,integer
.driver.file.modifier.ldap_person.hire_time_dt,string
.driver.file.modifier.ldap_person.job_title,string
.driver.file.modifier.ldap_person.labels[],string
.driver.file.modifier.ldap_person.last_login_time,integer
.driver.file.modifier.ldap_person.last_login_time_dt,string
.driver.file.modifier.ldap_person.ldap_cn,string
.driver.file.modifier.ldap_person.ldap_dn,string
.driver.file.modifier.ldap_person.leave_time,integer
.driver.file.modifier.ldap_person.leave_time_dt,string
.driver.file.modifier.ldap_person.location.city,string
.driver.file.modifier.ldap_person.location.continent,string
.driver.file.modifier.ldap_person.location.coordinates[],number
.driver.file.modifier.ldap_person.location.country,string
.driver.file.modifier.ldap_person.location.desc,string
.driver.file.modifier.ldap_person.location.geohash,string
.driver.file.modifier.ldap_person.location.is_on_premises,boolean
.driver.file.modifier.ldap_person.location.isp,string
.driver.file.modifier.ldap_person.location.lat,number
.driver.file.modifier.ldap_person.location.long,number
.driver.file.modifier.ldap_person.location.postal_code,string
.driver.file.modifier.ldap_person.location.provider,string
.driver.file.modifier.ldap_person.location.region,string
.driver.file.modifier.ldap_person.manager,null
.driver.file.modifier.ldap_person.modified_time,integer
.driver.file.modifier.ldap_person.modified_time_dt,string
.driver.file.modifier.ldap_person.office_location,string
.driver.file.modifier.ldap_person.surname,string
.driver.file.modifier.name,string
.driver.file.modifier.org.name,string
.driver.file.modifier.org.ou_name,string
.driver.file.modifier.org.ou_uid,string
.driver.file.modifier.org.uid,string
.driver.file.modifier.risk_level,string
.driver.file.modifier.risk_level_id,integer
.driver.file.modifier.risk_score,integer
.driver.file.modifier.type,string
.driver.file.modifier.type_id,integer
.driver.file.modifier.uid,string
.driver.file.modifier.uid_alt,string
.driver.file.name,string
.driver.file.owner.account.labels[],string
.driver.file.owner.account.name,string
.driver.file.owner.account.type,string
.driver.file.owner.account.type_id,integer
.driver.file.owner.account.uid,string
.driver.file.owner.credential_uid,string
.driver.file.owner.domain,string
.driver.file.owner.email_addr,string
.driver.file.owner.full_name,string
.driver.file.owner.groups[].desc,string
.driver.file.owner.groups[].domain,string
.driver.file.owner.groups[].name,string
.driver.file.owner.groups[].privileges[],string
.driver.file.owner.groups[].type,string
.driver.file.owner.groups[].uid,string
.driver.file.owner.ldap_person.cost_center,string
.driver.file.owner.ldap_person.created_time,integer
.driver.file.owner.ldap_person.created_time_dt,string
.driver.file.owner.ldap_person.deleted_time,integer
.driver.file.owner.ldap_person.deleted_time_dt,string
.driver.file.owner.ldap_person.email_addrs[],string
.driver.file.owner.ldap_person.employee_uid,string
.driver.file.owner.ldap_person.given_name,string
.driver.file.owner.ldap_person.hire_time,integer
.driver.file.owner.ldap_person.hire_time_dt,string
.driver.file.owner.ldap_person.job_title,string
.driver.file.owner.ldap_person.labels[],string
.driver.file.owner.ldap_person.last_login_time,integer
.driver.file.owner.ldap_person.last_login_time_dt,string
.driver.file.owner.ldap_person.ldap_cn,string
.driver.file.owner.ldap_person.ldap_dn,string
.driver.file.owner.ldap_person.leave_time,integer
.driver.file.owner.ldap_person.leave_time_dt,string
.driver.file.owner.ldap_person.location.city,string
.driver.file.owner.ldap_person.location.continent,string
.driver.file.owner.ldap_person.location.coordinates[],number
.driver.file.owner.ldap_person.location.country,string
.driver.file.owner.ldap_person.location.desc,string
.driver.file.owner.ldap_person.location.geohash,string
.driver.file.owner.ldap_person.location.is_on_premises,boolean
.driver.file.owner.ldap_person.location.isp,string
.driver.file.owner.ldap_person.location.lat,number
.driver.file.owner.ldap_person.location.long,number
.driver.file.owner.ldap_person.location.postal_code,string
.driver.file.owner.ldap_person.location.provider,string
.driver.file.owner.ldap_person.location.region,string
.driver.file.owner.ldap_person.manager,null
.driver.file.owner.ldap_person.modified_time,integer
.driver.file.owner.ldap_person.modified_time_dt,string
.driver.file.owner.ldap_person.office_location,string
.driver.file.owner.ldap_person.surname,string
.driver.file.owner.name,string
.driver.file.owner.org.name,string
.driver.file.owner.org.ou_name,string
.driver.file.owner.org.ou_uid,string
.driver.file.owner.org.uid,string
.driver.file.owner.risk_level,string
.driver.file.owner.risk_level_id,integer
.driver.file.owner.risk_score,integer
.driver.file.owner.type,string
.driver.file.owner.type_id,integer
.driver.file.owner.uid,string
.driver.file.owner.uid_alt,string
.driver.file.parent_folder,string
.driver.file.path,string
.driver.file.product.cpe_name,string
.driver.file.product.data_classification.category,string
.driver.file.product.data_classification.category_id,integer
.driver.file.product.data_classification.confidentiality,string
.driver.file.product.data_classification.confidentiality_id,integer
.driver.file.product.data_classification.policy.desc,string
.driver.file.product.data_classification.policy.group.desc,string
.driver.file.product.data_classification.policy.group.domain,string
.driver.file.product.data_classification.policy.group.name,string
.driver.file.product.data_classification.policy.group.privileges[],string
.driver.file.product.data_classification.policy.group.type,string
.driver.file.product.data_classification.policy.group.uid,string
.driver.file.product.data_classification.policy.is_applied,boolean
.driver.file.product.data_classification.policy.name,string
.driver.file.product.data_classification.policy.uid,string
.driver.file.product.data_classification.policy.version,string
.driver.file.product.feature.name,string
.driver.file.product.feature.uid,string
.driver.file.product.feature.version,string
.driver.file.product.lang,string
.driver.file.product.name,string
.driver.file.product.path,string
.driver.file.product.uid,string
.driver.file.product.url_string,string
.driver.file.product.vendor_name,string
.driver.file.product.version,string
.driver.file.security_descriptor,string
.driver.file.signature.algorithm,string
.driver.file.signature.algorithm_id,integer
.driver.file.signature.certificate.created_time,integer
.driver.file.signature.certificate.created_time_dt,string
.driver.file.signature.certificate.expiration_time,integer
.driver.file.signature.certificate.expiration_time_dt,string
.driver.file.signature.certificate.fingerprints[].algorithm,string
.driver.file.signature.certificate.fingerprints[].algorithm_id,integer
.driver.file.signature.certificate.fingerprints[].value,string
.driver.file.signature.certificate.is_self_signed,boolean
.driver.file.signature.certificate.issuer,string
.driver.file.signature.certificate.serial_number,string
.driver.file.signature.certificate.subject,string
.driver.file.signature.certificate.uid,string
.driver.file.signature.certificate.version,string
.driver.file.signature.created_time,integer
.driver.file.signature.created_time_dt,string
.driver.file.signature.developer_uid,string
.driver.file.signature.digest.algorithm,string
.driver.file.signature.digest.algorithm_id,integer
.driver.file.signature.digest.value,string
.driver.file.signature.state,string
.driver.file.signature.state_id,integer
.driver.file.size,integer
.driver.file.type,string
.driver.file.type_id,integer
.driver.file.uid,string
.driver.file.version,string
.driver.file.xattributes,object
.dst_endpoint.agent_list[].name,string
.dst_endpoint.agent_list[].policies[].desc,string
.dst_endpoint.agent_list[].policies[].group.desc,string
.dst_endpoint.agent_list[].policies[].group.domain,string
.dst_endpoint.agent_list[].policies[].group.name,string
.dst_endpoint.agent_list[].policies[].group.privileges[],string
.dst_endpoint.agent_list[].policies[].group.type,string
.dst_endpoint.agent_list[].policies[].group.uid,string
.dst_endpoint.agent_list[].policies[].is_applied,boolean
.dst_endpoint.agent_list[].policies[].name,string
.dst_endpoint.agent_list[].policies[].uid,string
.dst_endpoint.agent_list[].policies[].version,string
.dst_endpoint.agent_list[].type,string
.dst_endpoint.agent_list[].type_id,integer
.dst_endpoint.agent_list[].uid,string
.dst_endpoint.agent_list[].uid_alt,string
.dst_endpoint.agent_list[].vendor_name,string
.dst_endpoint.agent_list[].version,string
.dst_endpoint.autonomous_system.name,string
.dst_endpoint.autonomous_system.number,integer
.dst_endpoint.container.hash.algorithm,string
.dst_endpoint.container.hash.algorithm_id,integer
.dst_endpoint.container.hash.value,string
.dst_endpoint.container.image.labels[],string
.dst_endpoint.container.image.name,string
.dst_endpoint.container.image.path,string
.dst_endpoint.container.image.tag,string
.dst_endpoint.container.image.uid,string
.dst_endpoint.container.name,string
.dst_endpoint.container.network_driver,string
.dst_endpoint.container.orchestrator,string
.dst_endpoint.container.pod_uuid,string
.dst_endpoint.container.runtime,string
.dst_endpoint.container.size,integer
.dst_endpoint.container.tag,string
.dst_endpoint.container.uid,string
.dst_endpoint.domain,string
.dst_endpoint.hostname,string
.dst_endpoint.hw_info.bios_date,string
.dst_endpoint.hw_info.bios_manufacturer,string
.dst_endpoint.hw_info.bios_ver,string
.dst_endpoint.hw_info.chassis,string
.dst_endpoint.hw_info.cpu_bits,integer
.dst_endpoint.hw_info.cpu_cores,integer
.dst_endpoint.hw_info.cpu_count,integer
.dst_endpoint.hw_info.cpu_speed,integer
.dst_endpoint.hw_info.cpu_type,string
.dst_endpoint.hw_info.desktop_display.color_depth,integer
.dst_endpoint.hw_info.desktop_display.physical_height,integer
.dst_endpoint.hw_info.desktop_display.physical_orientation,integer
.dst_endpoint.hw_info.desktop_display.physical_width,integer
.dst_endpoint.hw_info.desktop_display.scale_factor,integer
.dst_endpoint.hw_info.keyboard_info.function_keys,integer
.dst_endpoint.hw_info.keyboard_info.ime,string
.dst_endpoint.hw_info.keyboard_info.keyboard_layout,string
.dst_endpoint.hw_info.keyboard_info.keyboard_subtype,integer
.dst_endpoint.hw_info.keyboard_info.keyboard_type,string
.dst_endpoint.hw_info.ram_size,integer
.dst_endpoint.hw_info.serial_number,string
.dst_endpoint.instance_uid,string
.dst_endpoint.interface_name,string
.dst_endpoint.interface_uid,string
.dst_endpoint.intermediate_ips[],string
.dst_endpoint.ip,string
.dst_endpoint.location.city,string
.dst_endpoint.location.continent,string
.dst_endpoint.location.coordinates[],number
.dst_endpoint.location.country,string
.dst_endpoint.location.desc,string
.dst_endpoint.location.geohash,string
.dst_endpoint.location.is_on_premises,boolean
.dst_endpoint.location.isp,string
.dst_endpoint.location.lat,number
.dst_endpoint.location.long,number
.dst_endpoint.location.postal_code,string
.dst_endpoint.location.provider,string
.dst_endpoint.location.region,string
.dst_endpoint.mac,string
.dst_endpoint.name,string
.dst_endpoint.namespace_pid,integer
.dst_endpoint.os.build,string
.dst_endpoint.os.country,string
.dst_endpoint.os.cpe_name,string
.dst_endpoint.os.cpu_bits,integer
.dst_endpoint.os.edition,string
.dst_endpoint.os.lang,string
.dst_endpoint.os.name,string
.dst_endpoint.os.sp_name,string
.dst_endpoint.os.sp_ver,integer
.dst_endpoint.os.type,string
.dst_endpoint.os.type_id,integer
.dst_endpoint.os.version,string
.dst_endpoint.owner.account.labels[],string
.dst_endpoint.owner.account.name,string
.dst_endpoint.owner.account.type,string
.dst_endpoint.owner.account.type_id,integer
.dst_endpoint.owner.account.uid,string
.dst_endpoint.owner.credential_uid,string
.dst_endpoint.owner.domain,string
.dst_endpoint.owner.email_addr,string
.dst_endpoint.owner.full_name,string
.dst_endpoint.owner.groups[].desc,string
.dst_endpoint.owner.groups[].domain,string
.dst_endpoint.owner.groups[].name,string
.dst_endpoint.owner.groups[].privileges[],string
.dst_endpoint.owner.groups[].type,string
.dst_endpoint.owner.groups[].uid,string
.dst_endpoint.owner.ldap_person.cost_center,string
.dst_endpoint.owner.ldap_person.created_time,integer
.dst_endpoint.owner.ldap_person.created_time_dt,string
.dst_endpoint.owner.ldap_person.deleted_time,integer
.dst_endpoint.owner.ldap_person.deleted_time_dt,string
.dst_endpoint.owner.ldap_person.email_addrs[],string
.dst_endpoint.owner.ldap_person.employee_uid,string
.dst_endpoint.owner.ldap_person.given_name,string
.dst_endpoint.owner.ldap_person.hire_time,integer
.dst_endpoint.owner.ldap_person.hire_time_dt,string
.dst_endpoint.owner.ldap_person.job_title,string
.dst_endpoint.owner.ldap_person.labels[],string
.dst_endpoint.owner.ldap_person.last_login_time,integer
.dst_endpoint.owner.ldap_person.last_login_time_dt,string
.dst_endpoint.owner.ldap_person.ldap_cn,string
.dst_endpoint.owner.ldap_person.ldap_dn,string
.dst_endpoint.owner.ldap_person.leave_time,integer
.dst_endpoint.owner.ldap_person.leave_time_dt,string
.dst_endpoint.owner.ldap_person.location.city,string
.dst_endpoint.owner.ldap_person.location.continent,string
.dst_endpoint.owner.ldap_person.location.coordinates[],number
.dst_endpoint.owner.ldap_person.location.country,string
.dst_endpoint.owner.ldap_person.location.desc,string
.dst_endpoint.owner.ldap_person.location.geohash,string
.dst_endpoint.owner.ldap_person.location.is_on_premises,boolean
.dst_endpoint.owner.ldap_person.location.isp,string
.dst_endpoint.owner.ldap_person.location.lat,number
.dst_endpoint.owner.ldap_person.location.long,number
.dst_endpoint.owner.ldap_person.location.postal_code,string
.dst_endpoint.owner.ldap_person.location.provider,string
.dst_endpoint.owner.ldap_person.location.region,string
.dst_endpoint.owner.ldap_person.manager,null
.dst_endpoint.owner.ldap_person.modified_time,integer
.dst_endpoint.owner.ldap_person.modified_time_dt,string
.dst_endpoint.owner.ldap_person.office_location,string
.dst_endpoint.owner.ldap_person.surname,string
.dst_endpoint.owner.name,string
.dst_endpoint.owner.org.name,string
.dst_endpoint.owner.org.ou_name,string
.dst_endpoint.owner.org.ou_uid,string
.dst_endpoint.owner.org.uid,string
.dst_endpoint.owner.risk_level,string
.dst_endpoint.owner.risk_level_id,integer
.dst_endpoint.owner.risk_score,integer
.dst_endpoint.owner.type,string
.dst_endpoint.owner.type_id,integer
.dst_endpoint.owner.uid,string
.dst_endpoint.owner.uid_alt,string
.dst_endpoint.port,integer
.dst_endpoint.proxy_endpoint.agent_list[].name,string
.dst_endpoint.proxy_endpoint.agent_list[].policies[].desc,string
.dst_endpoint.proxy_endpoint.agent_list[].policies[].group.desc,string
.dst_endpoint.proxy_endpoint.agent_list[].policies[].group.domain,string
.dst_endpoint.proxy_endpoint.agent_list[].policies[].group.name,string
.dst_endpoint.proxy_endpoint.agent_list[].policies[].group.privileges[],string
.dst_endpoint.proxy_endpoint.agent_list[].policies[].group.type,string
.dst_endpoint.proxy_endpoint.agent_list[].policies[].group.uid,string
.dst_endpoint.proxy_endpoint.agent_list[].policies[].is_applied,boolean
.dst_endpoint.proxy_endpoint.agent_list[].policies[].name,string
.dst_endpoint.proxy_endpoint.agent_list[].policies[].uid,string
.dst_endpoint.proxy_endpoint.agent_list[].policies[].version,string
.dst_endpoint.proxy_endpoint.agent_list[].type,string
.dst_endpoint.proxy_endpoint.agent_list[].type_id,integer
.dst_endpoint.proxy_endpoint.agent_list[].uid,string
.dst_endpoint.proxy_endpoint.agent_list[].uid_alt,string
.dst_endpoint.proxy_endpoint.agent_list[].vendor_name,string
.dst_endpoint.proxy_endpoint.agent_list[].version,string
.dst_endpoint.proxy_endpoint.autonomous_system.name,string
.dst_endpoint.proxy_endpoint.autonomous_system.number,integer
.dst_endpoint.proxy_endpoint.container.hash.algorithm,string
.dst_endpoint.proxy_endpoint.container.hash.algorithm_id,integer
.dst_endpoint.proxy_endpoint.container.hash.value,string
.dst_endpoint.proxy_endpoint.container.image.labels[],string
.dst_endpoint.proxy_endpoint.container.image.name,string
.dst_endpoint.proxy_endpoint.container.image.path,string
.dst_endpoint.proxy_endpoint.container.image.tag,string
.dst_endpoint.proxy_endpoint.container.image.uid,string
.dst_endpoint.proxy_endpoint.container.name,string
.dst_endpoint.proxy_endpoint.container.network_driver,string
.dst_endpoint.proxy_endpoint.container.orchestrator,string
.dst_endpoint.proxy_endpoint.container.pod_uuid,string
.dst_endpoint.proxy_endpoint.container.runtime,string
.dst_endpoint.proxy_endpoint.container.size,integer
.dst_endpoint.proxy_endpoint.container.tag,string
.dst_endpoint.proxy_endpoint.container.uid,string
.dst_endpoint.proxy_endpoint.domain,string
.dst_endpoint.proxy_endpoint.hostname,string
.dst_endpoint.proxy_endpoint.hw_info.bios_date,string
.dst_endpoint.proxy_endpoint.hw_info.bios_manufacturer,string
.dst_endpoint.proxy_endpoint.hw_info.bios_ver,string
.dst_endpoint.proxy_endpoint.hw_info.chassis,string
.dst_endpoint.proxy_endpoint.hw_info.cpu_bits,integer
.dst_endpoint.proxy_endpoint.hw_info.cpu_cores,integer
.dst_endpoint.proxy_endpoint.hw_info.cpu_count,integer
.dst_endpoint.proxy_endpoint.hw_info.cpu_speed,integer
.dst_endpoint.proxy_endpoint.hw_info.cpu_type,string
.dst_endpoint.proxy_endpoint.hw_info.desktop_display.color_depth,integer
.dst_endpoint.proxy_endpoint.hw_info.desktop_display.physical_height,integer
.dst_endpoint.proxy_endpoint.hw_info.desktop_display.physical_orientation,integer
.dst_endpoint.proxy_endpoint.hw_info.desktop_display.physical_width,integer
.dst_endpoint.proxy_endpoint.hw_info.desktop_display.scale_factor,integer
.dst_endpoint.proxy_endpoint.hw_info.keyboard_info.function_keys,integer
.dst_endpoint.proxy_endpoint.hw_info.keyboard_info.ime,string
.dst_endpoint.proxy_endpoint.hw_info.keyboard_info.keyboard_layout,string
.dst_endpoint.proxy_endpoint.hw_info.keyboard_info.keyboard_subtype,integer
.dst_endpoint.proxy_endpoint.hw_info.keyboard_info.keyboard_type,string
.dst_endpoint.proxy_endpoint.hw_info.ram_size,integer
.dst_endpoint.proxy_endpoint.hw_info.serial_number,string
.dst_endpoint.proxy_endpoint.instance_uid,string
.dst_endpoint.proxy_endpoint.interface_name,string
.dst_endpoint.proxy_endpoint.interface_uid,string
.dst_endpoint.proxy_endpoint.intermediate_ips[],string
.dst_endpoint.proxy_endpoint.ip,string
.dst_endpoint.proxy_endpoint.location.city,string
.dst_endpoint.proxy_endpoint.location.continent,string
.dst_endpoint.proxy_endpoint.location.coordinates[],number
.dst_endpoint.proxy_endpoint.location.country,string
.dst_endpoint.proxy_endpoint.location.desc,string
.dst_endpoint.proxy_endpoint.location.geohash,string
.dst_endpoint.proxy_endpoint.location.is_on_premises,boolean
.dst_endpoint.proxy_endpoint.location.isp,string
.dst_endpoint.proxy_endpoint.location.lat,number
.dst_endpoint.proxy_endpoint.location.long,number
.dst_endpoint.proxy_endpoint.location.postal_code,string
.dst_endpoint.proxy_endpoint.location.provider,string
.dst_endpoint.proxy_endpoint.location.region,string
.dst_endpoint.proxy_endpoint.mac,string
.dst_endpoint.proxy_endpoint.name,string
.dst_endpoint.proxy_endpoint.namespace_pid,integer
.dst_endpoint.proxy_endpoint.os.build,string
.dst_endpoint.proxy_endpoint.os.country,string
.dst_endpoint.proxy_endpoint.os.cpe_name,string
.dst_endpoint.proxy_endpoint.os.cpu_bits,integer
.dst_endpoint.proxy_endpoint.os.edition,string
.dst_endpoint.proxy_endpoint.os.lang,string
.dst_endpoint.proxy_endpoint.os.name,string
.dst_endpoint.proxy_endpoint.os.sp_name,string
.dst_endpoint.proxy_endpoint.os.sp_ver,integer
.dst_endpoint.proxy_endpoint.os.type,string
.dst_endpoint.proxy_endpoint.os.type_id,integer
.dst_endpoint.proxy_endpoint.os.version,string
.dst_endpoint.proxy_endpoint.owner.account.labels[],string
.dst_endpoint.proxy_endpoint.owner.account.name,string
.dst_endpoint.proxy_endpoint.owner.account.type,string
.dst_endpoint.proxy_endpoint.owner.account.type_id,integer
.dst_endpoint.proxy_endpoint.owner.account.uid,string
.dst_endpoint.proxy_endpoint.owner.credential_uid,string
.dst_endpoint.proxy_endpoint.owner.domain,string
.dst_endpoint.proxy_endpoint.owner.email_addr,string
.dst_endpoint.proxy_endpoint.owner.full_name,string
.dst_endpoint.proxy_endpoint.owner.groups[].desc,string
.dst_endpoint.proxy_endpoint.owner.groups[].domain,string
.dst_endpoint.proxy_endpoint.owner.groups[].name,string
.dst_endpoint.proxy_endpoint.owner.groups[].privileges[],string
.dst_endpoint.proxy_endpoint.owner.groups[].type,string
.dst_endpoint.proxy_endpoint.owner.groups[].uid,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.cost_center,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.created_time,integer
.dst_endpoint.proxy_endpoint.owner.ldap_person.created_time_dt,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.deleted_time,integer
.dst_endpoint.proxy_endpoint.owner.ldap_person.deleted_time_dt,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.email_addrs[],string
.dst_endpoint.proxy_endpoint.owner.ldap_person.employee_uid,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.given_name,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.hire_time,integer
.dst_endpoint.proxy_endpoint.owner.ldap_person.hire_time_dt,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.job_title,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.labels[],string
.dst_endpoint.proxy_endpoint.owner.ldap_person.last_login_time,integer
.dst_endpoint.proxy_endpoint.owner.ldap_person.last_login_time_dt,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.ldap_cn,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.ldap_dn,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.leave_time,integer
.dst_endpoint.proxy_endpoint.owner.ldap_person.leave_time_dt,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.location.city,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.location.continent,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.location.coordinates[],number
.dst_endpoint.proxy_endpoint.owner.ldap_person.location.country,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.location.desc,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.location.geohash,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.location.is_on_premises,boolean
.dst_endpoint.proxy_endpoint.owner.ldap_person.location.isp,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.location.lat,number
.dst_endpoint.proxy_endpoint.owner.ldap_person.location.long,number
.dst_endpoint.proxy_endpoint.owner.ldap_person.location.postal_code,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.location.provider,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.location.region,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.manager,null
.dst_endpoint.proxy_endpoint.owner.ldap_person.modified_time,integer
.dst_endpoint.proxy_endpoint.owner.ldap_person.modified_time_dt,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.office_location,string
.dst_endpoint.proxy_endpoint.owner.ldap_person.surname,string
.dst_endpoint.proxy_endpoint.owner.name,string
.dst_endpoint.proxy_endpoint.owner.org.name,string
.dst_endpoint.proxy_endpoint.owner.org.ou_name,string
.dst_endpoint.proxy_endpoint.owner.org.ou_uid,string
.dst_endpoint.proxy_endpoint.owner.org.uid,string
.dst_endpoint.proxy_endpoint.owner.risk_level,string
.dst_endpoint.proxy_endpoint.owner.risk_level_id,integer
.dst_endpoint.proxy_endpoint.owner.risk_score,integer
.dst_endpoint.proxy_endpoint.owner.type,string
.dst_endpoint.proxy_endpoint.owner.type_id,integer
.dst_endpoint.proxy_endpoint.owner.uid,string
.dst_endpoint.proxy_endpoint.owner.uid_alt,string
.dst_endpoint.proxy_endpoint.port,integer
.dst_endpoint.proxy_endpoint.proxy_endpoint,null
.dst_endpoint.proxy_endpoint.subnet_uid,string
.dst_endpoint.proxy_endpoint.svc_name,string
.dst_endpoint.proxy_endpoint.type,string
.dst_endpoint.proxy_endpoint.type_id,integer
.dst_endpoint.proxy_endpoint.uid,string
.dst_endpoint.proxy_endpoint.vlan_uid,string
.dst_endpoint.proxy_endpoint.vpc_uid,string
.dst_endpoint.proxy_endpoint.zone,string
.dst_endpoint.subnet_uid,string
.dst_endpoint.svc_name,string
.dst_endpoint.type,string
.dst_endpoint.type_id,integer
.dst_endpoint.uid,string
.dst_endpoint.vlan_uid,string
.dst_endpoint.vpc_uid,string
.dst_endpoint.zone,string
.duration,integer
.email.cc[],string
.email.data_classification.category,string
.email.data_classification.category_id,integer
.email.data_classification.confidentiality,string
.email.data_classification.confidentiality_id,integer
.email.data_classification.policy.desc,string
.email.data_classification.policy.group.desc,string
.email.data_classification.policy.group.domain,string
.email.data_classification.policy.group.name,string
.email.data_classification.policy.group.privileges[],string
.email.data_classification.policy.group.type,string
.email.data_classification.policy.group.uid,string
.email.data_classification.policy.is_applied,boolean
.email.data_classification.policy.name,string
.email.data_classification.policy.uid,string
.email.data_classification.policy.version,string
.email.delivered_to,string
.email.from,string
.email.message_uid,string
.email.raw_header,string
.email.reply_to,string
.email.size,integer
.email.smtp_from,string
.email.smtp_to[],string
.email.subject,string
.email.to[],string
.email.uid,string
.email.x_originating_ip[],string
.email_auth.dkim,string
.email_auth.dkim_domain,string
.email_auth.dkim_signature,string
.email_auth.dmarc,string
.email_auth.dmarc_override,string
.email_auth.dmarc_policy,string
.email_auth.spf,string
.email_uid,string
.end_time,integer
.end_time_dt,string
.enrichments[].created_time,integer
.enrichments[].created_time_dt,string
.enrichments[].data,null
.enrichments[].desc,string
.enrichments[].name,string
.enrichments[].provider,string
.enrichments[].reputation.base_score,number
.enrichments[].reputation.provider,string
.enrichments[].reputation.score,string
.enrichments[].reputation.score_id,integer
.enrichments[].short_desc,string
.enrichments[].src_url,string
.enrichments[].type,string
.enrichments[].value,string
.entity.data,null
.entity.device.agent_list[].name,string
.entity.device.agent_list[].policies[].desc,string
.entity.device.agent_list[].policies[].group.desc,string
.entity.device.agent_list[].policies[].group.domain,string
.entity.device.agent_list[].policies[].group.name,string
.entity.device.agent_list[].policies[].group.privileges[],string
.entity.device.agent_list[].policies[].group.type,string
.entity.device.agent_list[].policies[].group.uid,string
.entity.device.agent_list[].policies[].is_applied,boolean
.entity.device.agent_list[].policies[].name,string
.entity.device.agent_list[].policies[].uid,string
.entity.device.agent_list[].policies[].version,string
.entity.device.agent_list[].type,string
.entity.device.agent_list[].type_id,integer
.entity.device.agent_list[].uid,string
.entity.device.agent_list[].uid_alt,string
.entity.device.agent_list[].vendor_name,string
.entity.device.agent_list[].version,string
.entity.device.autoscale_uid,string
.entity.device.boot_time,integer
.entity.device.boot_time_dt,string
.entity.device.container.hash.algorithm,string
.entity.device.container.hash.algorithm_id,integer
.entity.device.container.hash.value,string
.entity.device.container.image.labels[],string
.entity.device.container.image.name,string
.entity.device.container.image.path,string
.entity.device.container.image.tag,string
.entity.device.container.image.uid,string
.entity.device.container.name,string
.entity.device.container.network_driver,string
.entity.device.container.orchestrator,string
.entity.device.container.pod_uuid,string
.entity.device.container.runtime,string
.entity.device.container.size,integer
.entity.device.container.tag,string
.entity.device.container.uid,string
.entity.device.created_time,integer
.entity.device.created_time_dt,string
.entity.device.desc,string
.entity.device.domain,string
.entity.device.first_seen_time,integer
.entity.device.first_seen_time_dt,string
.entity.device.groups[].desc,string
.entity.device.groups[].domain,string
.entity.device.groups[].name,string
.entity.device.groups[].privileges[],string
.entity.device.groups[].type,string
.entity.device.groups[].uid,string
.entity.device.hostname,string
.entity.device.hw_info.bios_date,string
.entity.device.hw_info.bios_manufacturer,string
.entity.device.hw_info.bios_ver,string
.entity.device.hw_info.chassis,string
.entity.device.hw_info.cpu_bits,integer
.entity.device.hw_info.cpu_cores,integer
.entity.device.hw_info.cpu_count,integer
.entity.device.hw_info.cpu_speed,integer
.entity.device.hw_info.cpu_type,string
.entity.device.hw_info.desktop_display.color_depth,integer
.entity.device.hw_info.desktop_display.physical_height,integer
.entity.device.hw_info.desktop_display.physical_orientation,integer
.entity.device.hw_info.desktop_display.physical_width,integer
.entity.device.hw_info.desktop_display.scale_factor,integer
.entity.device.hw_info.keyboard_info.function_keys,integer
.entity.device.hw_info.keyboard_info.ime,string
.entity.device.hw_info.keyboard_info.keyboard_layout,string
